metrocast_location_id,age,population
columbus,47,3156
columbus,48,3038
columbus,49,3000
columbus,50,2875
columbus,51,3159
columbus,52,3158
columbus,53,3215
columbus,54,3118
columbus,55,2942
columbus,56,2918
columbus,57,2968
columbus,58,3145
columbus,59,3232
columbus,60,3286
columbus,61,3262
columbus,62,3235
columbus,63,3204
columbus,64,3157
columbus,65,3126
columbus,66,3029
columbus,67,3017
columbus,68,2888
columbus,69,2797
columbus,70,2707
columbus,71,2523
columbus,72,2418
columbus,73,2224
columbus,74,2118
columbus,75,2091
columbus,76,1996
columbus,77,2038
columbus,78,1416
columbus,79,1361
columbus,80,1287
columbus,81,1310
columbus,82,1052
columbus,83,906
columbus,84+,5290
dallas,0,59693
dallas,1,61042
dallas,2,61034
dallas,3,58677
dallas,4,59629
dallas,5,60615
dallas,6,62055
dallas,7,63530
dallas,8,64753
dallas,9,65204
dallas,10,64443
dallas,11,64234
dallas,12,63994
dallas,13,64481
dallas,14,66444
dallas,15,67696
dallas,16,70220
dallas,17,69424
dallas,18,64522
dallas,19,59058
dallas,20,58065
dallas,21,58789
dallas,22,61382
dallas,23,66237
dallas,24,68936
dallas,25,69758
dallas,26,70800
dallas,27,71377
dallas,28,70788
dallas,29,71112
dallas,30,72375
dallas,31,72585
dallas,32,72599
dallas,33,72056
dallas,34,72110
dallas,35,70175
dallas,36,69460
dallas,37,68674
dallas,38,68730
dallas,39,68094
dallas,40,66446
dallas,41,67680
dallas,42,66772
dallas,43,65222
dallas,44,64688
dallas,45,61831
dallas,46,60419
dallas,47,59982
dallas,48,58570
dallas,49,58439
dallas,50,56478
dallas,51,56480
dallas,52,57850
dallas,53,59900
dallas,54,57485
dallas,55,54570
dallas,56,52788
dallas,57,51259
dallas,58,50535
dallas,59,51422
dallas,60,51566
dallas,61,50622
dallas,62,49421
dallas,63,48107
dallas,64,46350
dallas,65,43981
dallas,66,42211
dallas,67,40465
dallas,68,37912
dallas,69,36236
dallas,70,34075
dallas,71,32089
dallas,72,30313
dallas,73,28519
dallas,74,26833
dallas,75,25502
dallas,76,24491
dallas,77,25139
dallas,78,17965
dallas,79,16812
dallas,80,15845
dallas,81,15130
dallas,82,12543
dallas,83,10997
dallas,84+,61975
denver,0,32720
denver,1,32676
denver,2,32733
denver,3,31820
denver,4,31594
denver,5,31673
denver,6,32578
denver,7,33126
denver,8,34074
denver,9,34558
denver,10,34151
denver,11,34063
denver,12,34059
denver,13,35052
denver,14,35782
denver,15,36767
denver,16,37820
denver,17,37919
denver,18,34483
denver,19,31434
denver,20,32348
denver,21,32748
denver,22,34077
denver,23,38129
denver,24,41629
denver,25,44338
denver,26,47410
denver,27,49969
denver,28,51489
denver,29,52273
denver,30,53813
denver,31,54458
denver,32,55213
denver,33,55340
denver,34,54369
denver,35,51907
denver,36,51238
denver,37,49951
denver,38,49729
denver,39,48699
denver,40,47101
denver,41,47214
denver,42,46459
denver,43,44913
denver,44,43540
denver,45,41037
denver,46,39780
denver,47,38846
denver,48,37030
denver,49,36994
denver,50,36167
denver,51,35901
denver,52,37094
denver,53,38761
denver,54,37616
denver,55,35971
denver,56,33810
denver,57,32467
denver,58,32173
denver,59,33085
denver,60,33496
denver,61,33541
denver,62,33794
denver,63,33448
denver,64,32595
denver,65,31558
denver,66,30879
denver,67,30083
denver,68,28603
denver,69,27704
denver,70,26727
denver,71,25740
denver,72,24599
denver,73,23262
denver,74,21682
denver,75,20685
denver,76,20035
denver,77,20619
denver,78,14176
denver,79,13012
denver,80,12244
denver,81,11795
denver,82,9650
denver,83,8393
denver,84+,48723
deschutes,0,2380
deschutes,1,2397
deschutes,2,2601
deschutes,3,2501
deschutes,4,2717
deschutes,5,2688
deschutes,6,2731
deschutes,7,2794
deschutes,8,2923
deschutes,9,3050
deschutes,10,2958
deschutes,11,2933
deschutes,12,2940
deschutes,13,2975
deschutes,14,3021
deschutes,15,3030
deschutes,16,3207
deschutes,17,3191
deschutes,18,2708
deschutes,19,2158
deschutes,20,2323
deschutes,21,2523
deschutes,22,2503
deschutes,23,2715
deschutes,24,2919
deschutes,25,3024
deschutes,26,3122
deschutes,27,3373
deschutes,28,3374
deschutes,29,3511
deschutes,30,3495
deschutes,31,3636
deschutes,32,3860
deschutes,33,4071
deschutes,34,3986
deschutes,35,3938
deschutes,36,3934
deschutes,37,3910
deschutes,38,3931
deschutes,39,3931
deschutes,40,3827
deschutes,41,3796
deschutes,42,3843
deschutes,43,3710
deschutes,44,3748
deschutes,45,3516
