NCES_district_id,state,name,event_name,start,end
5002820,VT,Burlington School District,Mid winter Break	,22 Feb 2021,2 Mar 2021
5002820,VT,Burlington School District,Spring Break        ,19 Apr 2021,23 Apr 2021
5002820,VT,Burlington School District,Last Day of School	,11 Jun 2021,
5101260,VA,Fairfax County Public Schools,First Day of School,23 Aug 2021,
5101260,VA,Fairfax County Public Schools,Rosh Hashanah Break	,3 Sep 2021,7 Sep 2021
5101260,VA,Fairfax County Public Schools,Fall Break,11 Oct 2021,12 Oct 2021
5101260,VA,Fairfax County Public Schools,November Break,1 Nov 2021,2 Nov 2021
5101260,VA,Fairfax County Public Schools,Thanksgiving Break	,24 Nov 2021,26 Nov 2021
5101260,VA,Fairfax County Public Schools,Christmas Break	,20 Dec 2021,31 Dec 2021
5101260,VA,Fairfax County Public Schools,Mid winter Break	,18 Feb 2022,21 Feb 2022
5101260,VA,Fairfax County Public Schools,Spring Break        ,8 Apr 2022,15 Apr 2022
5101260,VA,Fairfax County Public Schools,Last Day of School	,17 Jun 2022,
5307710,WA,Seattle Public Schools,First Day of School,2 Sep 2020,
5307710,WA,Seattle Public Schools,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
5307710,WA,Seattle Public Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
5307710,WA,Seattle Public Schools,Mid winter Break	,15 Feb 2021,19 Feb 2021
5307710,WA,Seattle Public Schools,Spring Break        ,12 Apr 2021,16 Apr 2021
5307710,WA,Seattle Public Schools,Last Day of School	,18 Jun 2021,
5400600,WV,Kanawha County,First Day of School,8 Sep 2020,
5400600,WV,Kanawha County,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
5400600,WV,Kanawha County,Christmas Break	,24 Dec 2020,1 Jan 2021
5400600,WV,Kanawha County,Spring Break        ,2 Apr 2021,5 Apr 2021
5400600,WV,Kanawha County,Last Day of School	,28 May 2021,
5509600,WI,Milwaukee Public Schools,First Day of School,1 Sep 2020,
5509600,WI,Milwaukee Public Schools,Fall Break,23 Oct 2020,26 Oct 2020
5509600,WI,Milwaukee Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
5509600,WI,Milwaukee Public Schools,Christmas Break	,23 Dec 2020,1 Jan 2021
5509600,WI,Milwaukee Public Schools,Mid winter Break	,15 Feb 2021,16 Feb 2021
5509600,WI,Milwaukee Public Schools,Spring Break        ,2 Apr 2021,9 Apr 2021
5509600,WI,Milwaukee Public Schools,Last Day of School	,11 Jun 2021,
5601980,WY,Laramie County School District 1,First Day of School,23 Aug 2021,
5601980,WY,Laramie County School District 1,Thanksgiving Break	,24 Nov 2021,26 Nov 2021
5601980,WY,Laramie County School District 1,Christmas Break	,20 Dec 2021,31 Dec 2021
5601980,WY,Laramie County School District 1,Mid winter Break	,18 Feb 2022,21 Feb 2022
5601980,WY,Laramie County School District 1,Spring Break        ,28 Mar 2022,1 Apr 2022
5601980,WY,Laramie County School District 1,Last Day of School	,2 Jun 2022,
3174820,NE,Omaha Public Schools,First Day of School,18 Aug 2020,
3174820,NE,Omaha Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
