,United_States,United_States_Alabama,United_States_Alaska,United_States_Arizona,United_States_Arkansas,United_States_California,United_States_Colorado,United_States_Connecticut,United_States_Delaware,United_States_District_of_Columbia,United_States_Florida,United_States_Georgia,United_States_Hawaii,United_States_Idaho,United_States_Illinois,United_States_Indiana,United_States_Iowa,United_States_Kansas,United_States_Kentucky,United_States_Louisiana,United_States_Maine,United_States_Maryland,United_States_Massachusetts,United_States_Michigan,United_States_Minnesota,United_States_Mississippi,United_States_Missouri,United_States_Montana,United_States_Nebraska,United_States_Nevada,United_States_New_Hampshire,United_States_New_Jersey,United_States_New_Mexico,United_States_New_York,United_States_North_Carolina,United_States_North_Dakota,United_States_Ohio,United_States_Oklahoma,United_States_Oregon,United_States_Pennsylvania,United_States_Rhode_Island,United_States_South_Carolina,United_States_South_Dakota,United_States_Tennessee,United_States_Texas,United_States_Utah,United_States_Vermont,United_States_Virginia,United_States_Washington,United_States_West_Virginia,United_States_Wisconsin,United_States_Wyoming
56,4603955,70171,11282,94888,43110,526950,83838,53637,13567,9077,297412,142732,21291,24168,171240,97357,46485,40966,67244,64800,23740,86561,100930,151099,81867,41670,89169,18541,26829,41019,22821,125521,30159,269778,142117,12353,175789,54698,67340,198231,16805,74248,13726,96342,365521,34679,10913,120211,114854,29419,88137,9253
57,4462664,68245,10914,90006,40708,498770,81235,52316,13904,9233,296272,130593,21412,24514,169211,93099,46059,38413,65503,61634,22839,85455,100404,147880,78984,39032,85140,18467,26870,39513,22065,121059,29383,268067,140606,11485,172170,52741,67655,192572,16251,70729,12841,94117,347313,33983,10913,118394,110687,29948,84942,8956
58,4289382,67297,10320,89423,39804,463851,79277,48269,13177,8707,287068,129618,19867,23532,164996,88404,44906,36658,62565,63117,21774,81020,94444,143232,80145,38947,83494,18043,27634,37138,20707,112030,28842,253307,138139,10931,171592,49158,62874,183893,14995,71055,12172,90576,332980,31179,10223,114495,104896,30116,81948,9043
59,4072114,64707,9989,87003,38510,446212,75397,45491,12646,8876,278368,118707,19420,22348,154870,83724,41960,35965,58498,54402,20661,78810,88762,137259,72941,36910,80044,16769,25884,36936,19692,111577,27250,243480,130715,10061,153772,47974,60150,170187,14706,69165,11573,86269,314276,29487,9890,106998,98342,27993,78765,7947
60,4074780,63916,9491,87310,38112,455247,73086,45343,12782,8640,281466,121801,20123,21401,153328,84765,40518,34112,58384,56411,20843,76927,89741,135471,70512,37340,78121,16197,24422,37212,19906,108840,27168,249169,127315,10315,155104,48367,60843,170049,14519,68568,11232,87512,312284,28948,9582,107262,100537,27767,75594,7893
61,4038791,64540,8655,87718,39734,437034,68939,44482,13276,8746,286933,123432,19454,22348,150398,83991,40353,35474,58451,57367,20886,76259,87740,134315,66791,36146,77779,16307,24278,38240,19546,109084,26754,243560,133449,9018,155053,49600,58874,169198,13817,71174,10609,86774,310402,27985,9892,107333,97897,30017,73770,7629
62,4099439,65372,8374,92206,39868,434525,72211,46309,13519,8250,306022,125465,19495,22797,151222,81040,40051,35173,59934,58898,21549,76174,87594,132421,69280,38268,79451,16229,24125,39703,20646,111995,27781,248493,138895,9252,151962,50581,58434,171175,14097,74324,10446,86471,310402,28251,9666,109732,102844,28439,73581,7652
63,3948151,61543,7856,85255,39055,425705,68477,46999,13423,7769,298642,115253,18124,21167,141839,81995,39296,34995,55983,55225,20527,74947,86177,124619,65642,36242,76870,14777,22543,39667,19460,107568,26153,238546,131471,8898,145025,49333,57436,167906,14533,71902,9640,88827,295958,26510,9016,105515,97642,27615,72890,7164
64,3012431,50781,5701,68991,30361,319583,49879,34508,10067,6480,235040,91164,15169,15911,109765,60773,29799,24336,42032,42416,15070,54488,66955,92291,48483,27377,59148,11443,15922,30165,14336,84140,20051,178472,105043,7295,104132,36992,43686,124041,10196,54100,7977,69720,231985,20294,7111,81858,71457,19767,52472,5478
65,3074413,50010,6009,71017,32117,328403,51095,34345,10510,6483,248709,92648,15867,16694,108404,60042,29861,25833,42233,43430,15091,56699,66049,96330,50565,28615,59674,11622,16983,31457,14108,84454,21039,181496,104398,6921,103930,39226,44846,125442,10288,55751,7931,73796,237685,21611,7332,81064,74002,20229,54435,5539
